px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	5.5533e-321
0	0	0	0	0	0	0	0	0	0	0	1.39612e-309
1.54219	-0.135454	0.779398	-2.9727e-17	-1.35687e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.21486
1.62326	0.0198176	1.80183	-0.066913	-0.0336596	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.56387
3.73406	0.140186	2.92868	-0.835077	-0.169715	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	14.3605
3.81977	0.196405	3.02749	-0.0701763	-0.50834	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	2.70113
6.76758	0.441856	3.55024	-0.0686029	-0.343885	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	3.71529
6.67063	0.461427	3.36437	-0.22452	-0.669945	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	3.03783
9.11004	0.564578	3.20078	-0.128542	-0.140971	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.08187
9.03448	0.638773	2.95927	-0.158322	-0.164726	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	3.60586
11.7453	1.52742	2.4251	0.303145	0.221217	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	12.7344
11.7089	1.50002	2.43273	0.284625	0.210244	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.10665
13.6781	2.33888	2.2396	0.501802	0.222316	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.3738
13.7142	2.29572	2.33097	0.461277	0.188249	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	2.19025
16.4585	2.90571	2.61574	0.187197	-0.0918511	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	8.30205
16.4412	2.90767	2.63359	0.193288	-0.0871486	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.507645
18.9933	3.67473	2.68756	0.276749	0.0129756	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.572678
19.0345	3.69316	2.68208	0.285989	0.0229308	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.89658
21.3737	4.72148	2.60417	0.441353	0.10199	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.547237
21.4337	4.72507	2.69246	0.426307	0.0859778	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.05807
24.0368	5.58479	2.74649	0.328539	-0.0244704	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.769685
24.1498	5.61624	2.88878	0.314412	-0.0374324	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.01837
26.6423	6.93566	2.84311	0.500924	0.0951565	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.00838
26.6489	6.92781	2.89003	0.486383	0.0776408	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.595671
29.4989	8.07784	3.04913	0.379037	-0.0383468	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.74139
29.4991	8.08192	3.04784	0.380705	-0.0371984	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0380431
